headline,pub_date,url,word_count,news_desk,source
Covid Forces Families to Rethink Nursing Home Care,2021-05-06T14:44:10+0000,https://www.nytimes.com/2021/05/06/health/covid-nursing-homes.html,1528,Science,The New York Times
Vita Vea Is a Defensive Minimalist With Maximum N.F.L. Impact,2021-10-07T16:36:11+0000,https://www.nytimes.com/2021/10/07/sports/football/vita-vea-tampa-bay-buccaneeers.html,846,Sports,The New York Times
Before a ‘Classy Dinosaur’ Wedding Came Leukemia and I.V.F.,2021-09-10T09:00:30+0000,https://www.nytimes.com/2021/09/10/style/kaitlin-flannery-john-mancini-wedding.html,1511,Styles,The New York Times
Is New York City Ready for the Omicron Variant?,2021-12-01T23:00:11+0000,https://www.nytimes.com/2021/12/01/nyregion/new-york-covid-omicron.html,1408,Metro,The New York Times
"Ganga Stone, Who Gave Sustenance to AIDS Patients, Dies at 79",2021-06-04T22:05:16+0000,https://www.nytimes.com/2021/06/04/nyregion/ganga-stone-dead.html,843,Obits,The New York Times
"After Covid Diagnosis, a Conservative Radio Host Sends a New Message",2021-07-25T23:57:55+0000,https://www.nytimes.com/2021/07/25/us/phil-valentine-covid-nashville-.html,1092,National,The New York Times
Why Seven Republican Senators Voted to Convict Trump,2021-02-14T23:57:25+0000,https://www.nytimes.com/2021/02/14/us/politics/republican-senators-impeachment-trump.html,1612,Washington,The New York Times
Hurricane Ida Makes Landfall as an ‘Extremely Dangerous Major’ Storm,2021-08-26T21:53:05+0000,https://www.nytimes.com/article/tropical-storm-ida-hurricane.html,1018,Express,The New York Times
Now It Can Be Told: How Neil Sheehan Got the Pentagon Papers,2021-01-07T22:50:44+0000,https://www.nytimes.com/2021/01/07/us/pentagon-papers-neil-sheehan.html,2588,Obits,The New York Times
Thursday and Friday’s Partial Lunar Eclipse Was the Longest in 580 Years,2021-11-18T15:54:57+0000,https://www.nytimes.com/2021/11/18/science/lunar-eclipse-full-moon-tonight.html,1165,Science,The New York Times
Corporations that decried police violence last year are mostly mum on Georgia’s voting rights crackdown.,2021-03-30T14:31:13+0000,https://www.nytimes.com/2021/03/30/us/corporations-that-decried-police-violence-last-year-are-mostly-mum-on-georgias-voting-rights-crackdown.html,469,Washington,The New York Times
Biden Seeks to Revive Vaccine Effort With New Rules and Incentives,2021-07-29T23:22:18+0000,https://www.nytimes.com/2021/07/29/us/politics/biden-vaccine-mandates.html,1770,Washington,The New York Times
The Saga of Ryanair Flight 4978,2021-05-27T10:00:07+0000,https://www.nytimes.com/2021/05/27/podcasts/the-daily/belarus-ryanair-lukashenko-roman-protasevich.html,293,Podcasts,The New York Times
A Black Theater Flourished in New York. 200 Years Ago.,2021-09-22T09:00:24+0000,https://www.nytimes.com/2021/09/22/theater/african-grove-theater.html,1440,Arts&Leisure,The New York Times
Facebook Is Said to Be Building a Product to Compete With Clubhouse,2021-02-10T18:06:56+0000,https://www.nytimes.com/2021/02/10/technology/facebook-building-product-clubhouse.html,691,Business,The New York Times
What You May Not Know About Those April Flowers,2021-03-28T15:00:07+0000,https://www.nytimes.com/2021/03/28/opinion/immigrant-plants-ecosystem.html,1147,OpEd,The New York Times
United Adds to Its Orders for Boeing 737 Max Planes,2021-03-01T13:00:05+0000,https://www.nytimes.com/2021/03/01/business/united-airlines-boeing-737-max.html,597,Business,The New York Times
"In Texas Abortion Law Case, a Spotlight on Brett Kavanaugh",2021-10-31T14:58:18+0000,https://www.nytimes.com/2021/10/31/us/politics/kavanaugh-texas-abortion-law.html,1559,Washington,The New York Times
"Manic Markets, Imploding Funds: Wall Street’s New Top Cop Has a Full Plate",2021-04-21T14:05:15+0000,https://www.nytimes.com/2021/04/21/business/economy/gensler-wall-street-sec.html,1286,Business,The New York Times
Tour de France Fan Will Face Trial for Role in Crash,2021-07-01T17:04:05+0000,https://www.nytimes.com/2021/07/01/sports/cycling/tour-de-france-crash-fan-arrest.html,647,Sports,The New York Times
Review: ‘A Commercial Jingle for Regina Comet’ Is Missing a Few Notes,2021-09-28T00:30:05+0000,https://www.nytimes.com/2021/09/27/theater/a-commercial-jingle-for-regina-comet-review.html,568,Culture,The New York Times
What We Learned From the First Weekend of the N.C.A.A. Basketball Men’s Tournament,2021-03-23T04:01:07+0000,https://www.nytimes.com/2021/03/23/sports/ncaabasketball/ncaa-mens-basketball-tournament-sweet-16-preview.html,1360,Sports,The New York Times
"Corrections: March 11, 2021",2021-03-11T03:34:44+0000,https://www.nytimes.com/2021/03/10/pageoneplus/corrections-march-11-2021.html,169,Corrections,The New York Times
Your Guide to Olympics Gymnastics: Floor Exercise,2021-07-24T22:25:13+0000,https://www.nytimes.com/2021/07/24/sports/olympics/gymnastics-floor-exercise.html,1606,Sports,The New York Times
How to Catch a Bat,2021-09-08T09:00:15+0000,https://www.nytimes.com/2021/09/08/magazine/catch-bats.html,396,Magazine,The New York Times
"As protests against police violence surge, Florida passes a bill to combat ‘public disorder.’",2021-04-16T01:35:10+0000,https://www.nytimes.com/2021/04/15/us/politics/florida-public-disorder-bill-police.html,368,Express,The New York Times
"To Protect Abortion Rights, Turn to Elections",2021-11-27T16:03:44+0000,https://www.nytimes.com/2021/11/27/opinion/roe-abortion-dobbs-scotus.html,1288,Editorial,The New York Times
"The top 1 percent are evading $163 billion a year in taxes, the Treasury finds.",2021-09-08T14:02:56+0000,https://www.nytimes.com/2021/09/08/business/irs-tax-avoidance.html,479,Business,The New York Times
Memorial to Massacre Victims in Norway Divides Traumatized Community,2021-01-09T16:26:00+0000,https://www.nytimes.com/2021/01/09/world/europe/norway-oslo-memorial.html,1252,Foreign,The New York Times
"Heart Failure Tied to Increased Cancer Risk, Study Finds",2021-07-19T19:49:56+0000,https://www.nytimes.com/2021/07/19/well/live/heart-failure-cancer-risk.html,631,Well,The New York Times
Asian-Americans Are Scared for a Reason,2021-03-19T00:47:36+0000,https://www.nytimes.com/2021/03/18/opinion/anti-asian-american-violence.html,659,Editorial,The New York Times
Catherine Was Great. But Was She a Girl Boss?,2021-12-26T17:20:30+0000,https://www.nytimes.com/2021/12/26/arts/television/dickinson-the-great-six-feminism.html,1803,Arts&Leisure,The New York Times
‘Blizzard of Souls’ Review: A Soldier’s Tale From the Front,2021-01-07T12:00:06+0000,https://www.nytimes.com/2021/01/07/movies/blizzard-of-souls-review.html,293,Weekend,The New York Times
Amy Klobuchar says she was treated for breast cancer.,2021-09-09T13:22:02+0000,https://www.nytimes.com/2021/09/09/us/politics/amy-klobuchar-breast-cancer.html,352,Washington,The New York Times
Dad’s Wristwatch Returns to Seoul,2021-04-12T09:02:08+0000,https://www.nytimes.com/2021/04/12/fashion/watches-clock-alley-seoul.html,1226,SpecialSections,International New York Times
Military Ends Pearl Harbor Project to Identify the Dead,2021-12-07T10:40:07+0000,https://www.nytimes.com/2021/12/07/us/pearl-harbor-attack-dna.html,984,Express,The New York Times
What to Cook This Week,2021-01-31T15:30:01+0000,https://www.nytimes.com/2021/01/31/dining/what-to-cook-week-ahead.html,736,Dining,The New York Times
"London Police, Under Fire on Everard Murder, Respond With Safety Tips",2021-10-01T13:13:20+0000,https://www.nytimes.com/2021/10/01/world/europe/london-police-sarah-everard-murder.html,985,Foreign,The New York Times
Will Gavin Newsom Be Recalled?,2021-02-04T13:52:38+0000,https://www.nytimes.com/2021/02/04/us/gavin-newsom-recall.html,1221,National,The New York Times
Many migrants in Belarus flew there. Airlines on Friday moved to end that practice.,2021-11-12T12:49:18+0000,https://www.nytimes.com/2021/11/12/world/europe/migrant-flights-belarus.html,559,Foreign,The New York Times
"In Antitrust Trial, Tim Cook Argues Apple Doesn’t Hurt App Makers",2021-05-21T17:36:35+0000,https://www.nytimes.com/2021/05/21/technology/apple-vs-epic-tim-cook.html,1425,Business,The New York Times
Your Friday Briefing,2021-07-23T04:26:38+0000,https://www.nytimes.com/2021/07/23/briefing/coronavirus-olympics-belarus.html,1216,NYTNow,The New York Times
That’s So Cringe!,2021-04-11T07:00:06+0000,https://www.nytimes.com/2021/04/11/style/cringe-explainer.html,782,Styles,The New York Times
"In the Biden Bill, the Billionaires Beat the Working Rich",2021-10-28T19:38:59+0000,https://www.nytimes.com/2021/10/28/upshot/biden-taxes-billionaires-millionaires.html,944,Business,The New York Times
New York Reaches Deal on $212 Billion Budget to Jump-Start Recovery,2021-04-06T20:24:26+0000,https://www.nytimes.com/2021/04/06/nyregion/economic-relief-bill-new-york.html,1299,Metro,The New York Times
Gender Pronouns Are Changing. It’s Exhilarating.,2021-09-21T15:33:12+0000,https://www.nytimes.com/2021/09/21/opinion/gender-pronouns-they.html,1057,OpEd,The New York Times
How companies explain their C.E.O.s’ big pay packages in the pandemic.,2021-04-26T12:30:13+0000,https://www.nytimes.com/2021/04/26/business/how-companies-explain-their-ceos-big-pay-packages-in-the-pandemic.html,257,Business,The New York Times
Why Rural America Needs Immigrants,2021-07-21T23:00:10+0000,https://www.nytimes.com/2021/07/21/opinion/rural-america-immigrants.html,833,OpEd,The New York Times
"‘I unequivocally condemn the violence,’ Trump says in a video, minutes after he is impeached.",2021-01-13T19:10:03+0000,https://www.nytimes.com/2021/01/13/us/politics/trump-statement-violence.html,514,Washington,The New York Times
"Congress, Far From ‘a Series of Tubes,’ Is Still Nowhere Near Reining In Tech",2021-12-11T10:00:13+0000,https://www.nytimes.com/2021/12/11/business/congress-tech-regulation.html,1535,SundayBusiness,The New York Times
My Parishioner Was Not Sentenced to Death. He Still Died.,2021-05-31T09:00:08+0000,https://www.nytimes.com/2021/05/31/opinion/covid-new-york-state-prisons.html,2088,OpEd,The New York Times
"One High School, Five Students Fatally Shot",2021-04-23T18:19:21+0000,https://www.nytimes.com/2021/04/23/us/knoxville-anthony-thompson.html,1637,National,The New York Times
"Mohib Ullah, 46, Dies; Documented Ethnic Cleansing of Rohingya",2021-10-02T22:06:25+0000,https://www.nytimes.com/2021/10/02/world/asia/mohib-ullah-dead.html,1280,Obits,The New York Times
