headline,pub_date,url,word_count,news_desk,source
These Starfish Face Extinction. Scientists Are Helping Them Mate.,2023-10-21T13:00:14+0000,https://www.nytimes.com/2023/10/21/science/sunflower-sea-star-spawns.html,741,Science,The New York Times
Spelling Bee Forum,2023-03-01T08:00:03+0000,https://www.nytimes.com/2023/03/01/crosswords/spelling-bee-forum.html,165,Games,The New York Times
The One Without Matthew Perry,2023-10-29T16:38:38+0000,https://www.nytimes.com/2023/10/29/arts/television/matthew-perry-chandler-bing.html,748,Obits,The New York Times
"Tech’s Biggest Companies Discover Austerity, to the Relief of Investors",2023-02-03T00:07:03+0000,https://www.nytimes.com/2023/02/02/technology/big-tech-earnings-austerity.html,1149,Business,The New York Times
How American Jews Feel About Israel,2023-03-10T16:49:53+0000,https://www.nytimes.com/2023/03/10/opinion/letters/us-jews-israel.html,1037,Letters,The New York Times
"Desire Marea’s Genre-Melting Music Stirs South Africa, and the World",2023-11-07T10:01:05+0000,https://www.nytimes.com/2023/11/07/arts/music/desire-marea-baddies-of-isandlwana.html,1222,Culture,The New York Times
"How a Food, Drink and Lifestyle Expert Spends His Sundays",2023-04-23T07:00:16+0000,https://www.nytimes.com/2023/04/23/nyregion/maneesh-goyal-sona-temple-bar.html,772,Metropolitan,The New York Times
Oxford’s 2023 Word of the Year Is … ‘Rizz’,2023-12-03T22:18:23+0000,https://www.nytimes.com/2023/12/03/arts/rizz-oxford-word-year.html,833,Culture,The New York Times
"Reimagining Rice, From the Mekong to the Mississippi",2023-05-23T16:50:12+0000,https://www.nytimes.com/2023/05/23/climate/rice.html,1221,Climate,The New York Times
Your Thursday Briefing,2023-03-30T04:22:50+0000,https://www.nytimes.com/2023/03/30/briefing/nuclear-plant-ukraine-europe.html,1208,NYTNow,The New York Times
"Peter Meijer, a Republican Who Voted to Impeach Trump, Is Running for Senate",2023-11-06T12:55:21+0000,https://www.nytimes.com/2023/11/06/us/politics/peter-meijer-senate-michigan.html,675,Politics,The New York Times
"Battlefield Update: The entrenchments Ukraine is encountering are ‘not as strong,’ an army spokesman says.",2023-09-05T14:06:47+0000,https://www.nytimes.com/2023/09/05/world/europe/battlefield-update-some-ukrainian-forces-have-reached-another-russian-defensive-line-in-the-south-analysts-say.html,428,Foreign,The New York Times
Tony Predictions: Expect Wins for ‘Kimberly Akimbo’ and ‘Leopoldstadt’,2023-06-09T07:00:23+0000,https://www.nytimes.com/2023/06/09/theater/tony-awards-predictions.html,1419,Weekend,The New York Times
"Corrections: June 21, 2023",2023-06-21T03:47:31+0000,https://www.nytimes.com/2023/06/20/pageoneplus/corrections-june-21-2023.html,363,Corrections,The New York Times
"Review: In Berlin, Opera Scales Up to Fill an Airport Hangar",2023-09-18T16:05:04+0000,https://www.nytimes.com/2023/09/18/arts/music/review-komische-oper-berlin-tempelhof-medusa.html,1083,Culture,The New York Times
An American Life in a Million Glances,2023-09-29T09:02:30+0000,https://www.nytimes.com/2023/09/29/books/review/coming-and-going-jim-goldberg.html,247,BookReview,The New York Times
Thursday Briefing,2023-12-28T05:57:01+0000,https://www.nytimes.com/2023/12/28/briefing/hamas-israel-ukraine-children.html,1203,NYTNow,The New York Times
"Tulsa Schools, Under Threat of Takeover, Retain Control for Now",2023-08-24T20:59:42+0000,https://www.nytimes.com/2023/08/24/us/tulsa-schools-takeover.html,523,National,The New York Times
Places for Forks,2023-04-07T02:00:05+0000,https://www.nytimes.com/2023/04/06/crosswords/daily-puzzle-2023-04-07.html,505,Games,The New York Times
Megan Rapinoe Is Not Going Quietly,2023-07-30T10:00:18+0000,https://www.nytimes.com/2023/07/30/sports/soccer/megan-rapinoe-uswnt.html,998,Sports,The New York Times
"‘Billions’ Season 7, Episode 7 Recap: The Way of the Ocean",2023-09-22T19:34:43+0000,https://www.nytimes.com/2023/09/22/arts/television/billions-recap-episode-7.html,1310,Culture,The New York Times
"In Moscow, a Quiet Antiwar Protest With Flowers and Plush Toys",2023-01-23T14:24:15+0000,https://www.nytimes.com/2023/01/23/world/europe/moscow-flowers-protest-ukraine-war-dnipro.html,1327,Foreign,The New York Times
Bike-Path Attacker’s Mother Says She Wanted ‘Tired’ Son to Leave U.S.,2023-03-01T21:56:40+0000,https://www.nytimes.com/2023/03/01/nyregion/sayfullo-saipov-trial-mother.html,916,Metro,The New York Times
I’m Racing My Biological Clock and a Tight-Lipped Boyfriend. Help!,2023-01-18T14:00:03+0000,https://www.nytimes.com/2023/01/18/style/children-relationships-biological-clock.html,887,Styles,The New York Times
