headline,pub_date,url,word_count,news_desk,source
Word of the Day: rejigger,2024-02-05T07:00:02+0000,https://www.nytimes.com/2024/02/05/learning/word-of-the-day-rejigger.html,416,Learning,The New York Times
"An Ex-President, a Senator and the Center of the (Legal) Universe",2024-05-18T07:00:38+0000,https://www.nytimes.com/2024/05/18/nyregion/trump-menendez-trials-courthouse.html,1303,Metro,The New York Times
"Stormy Daniels, Echoing Trump’s Style, Pushes Back at Lawyer’s Attacks",2024-05-09T20:25:27+0000,https://www.nytimes.com/2024/05/09/nyregion/trump-trial-stormy-daniels-hush-money.html,1570,Metro,The New York Times
What We Know About Trump’s Quest for a Half-Billion-Dollar Bond,2024-03-19T07:00:37+0000,https://www.nytimes.com/2024/03/19/nyregion/trump-bond-ny-fraud-case.html,1608,Metro,The New York Times
U.S. Is Said to Open Criminal Inquiry Into Boeing,2024-03-09T22:24:05+0000,https://www.nytimes.com/2024/03/09/business/boeing-criminal-inquiry-alaska-airlines-flight.html,862,Business,The New York Times
There Is a Part of Modern Life That Is So Essential Armies Should Never Attack It Again,2024-04-15T09:04:02+0000,https://www.nytimes.com/2024/04/15/opinion/ukraine-russia-power-grid.html,1104,OpEd,The New York Times
OpenAI Seeks to Dismiss Parts of The New York Times’s Lawsuit,2024-02-27T16:56:55+0000,https://www.nytimes.com/2024/02/27/technology/openai-new-york-times-lawsuit.html,566,Business,The New York Times
A New Building Aims to Be a Good Neighbor in Low-Rise Brooklyn,2024-03-20T09:00:42+0000,https://www.nytimes.com/2024/03/20/realestate/bergen-boerum-hill.html,882,RealEstate,The New York Times
Brittney Griner Announces Birth of Her Son,2024-07-20T18:53:31+0000,https://www.nytimes.com/2024/07/20/sports/brittney-griner-cherelle-baby.html,380,Express,The New York Times
U.S. Defense Secretary Is Released From the Hospital After 2 Weeks,2024-01-15T17:39:37+0000,https://www.nytimes.com/2024/01/15/us/politics/defense-secretary-lloyd-austin-hospital-release.html,413,Washington,The New York Times
"Accused of Genocide, Israelis See Reversal of Reality. Palestinians See Justice.",2024-01-12T09:52:07+0000,https://www.nytimes.com/2024/01/12/world/middleeast/israel-palestinians-icj-genocide.html,1485,Foreign,The New York Times
